sector,year,exports,imports,base_imports,base_exports,base_total,total_trade,trade_change,trade_asymmetry,init_rate,retal_rate,retaliation_ratio
01,2015,10244385,33777173,38783587.333333336,11123474.333333334,49907061.666666664,44021558,-0.11792927634122048,0.3032931441598147,0,0,1
01,2016,6399523,46245949,38783587.333333336,11123474.333333334,49907061.666666664,52645472,0.05487019756088631,0.13838018547311032,0,0,1
01,2017,16726515,36327640,38783587.333333336,11123474.333333334,49907061.666666664,53054155,0.06305907878033432,0.4604349470540888,0,0,1
01,2018,14590026,46352348,38783587.333333336,11123474.333333334,49907061.666666664,60942374,0.2211172520441914,0.3147634721762099,0,25,26
01,2019,27899236,37690937,38783587.333333336,11123474.333333334,49907061.666666664,65590173,0.31424633728353146,0.7402107302346981,5,25,4.333333333333333
01,2020,19671156,3113059,38783587.333333336,11123474.333333334,49907061.666666664,22784215,-0.5434671118853354,6.318915253453276,5,25,4.333333333333333
01,2021,48655660,4811968,38783587.333333336,11123474.333333334,49907061.666666664,53467628,0.07134393840123565,10.11138478061367,5,25,4.333333333333333
02,2015,335588336,21975413,18885002.666666668,480699506.6666667,499584509.3333333,357563749,-0.28427775017054036,15.271082095248904,0,0,1
02,2016,584610550,18096308,18885002.666666668,480699506.6666667,499584509.3333333,602706858,0.2064162253635076,32.30551502549581,0,0,1
02,2017,521899634,16583287,18885002.666666668,480699506.6666667,499584509.3333333,538482921,0.07786152480703289,31.47142264377382,0,0,1
02,2018,391174508,16932695,18885002.666666668,480699506.6666667,499584509.3333333,408107203,-0.1831067709753541,23.101727634024,0,25,26
02,2019,1186678925,9796219,18885002.666666668,480699506.6666667,499584509.3333333,1196475144,1.3949404387990874,121.13642263407954,5,25,4.333333333333333
02,2020,3149611012,8347027,18885002.666666668,480699506.6666667,499584509.3333333,3157958039,5.321168851320295,377.3332723136034,5,25,4.333333333333333
02,2021,3981645396,9395457,18885002.666666668,480699506.6666667,499584509.3333333,3991040853,6.988720183349587,423.7841114061828,5,25,4.333333333333333
03,2015,1007955183,1990649384,1979991180.6666667,1064304180.6666666,3044295361.3333335,2998604567,-0.01500866010363788,0.5063449099080524,0,0,1
03,2016,949230937,1923385542,1979991180.6666667,1064304180.6666666,3044295361.3333335,2872616479,-0.05639363529369961,0.49352088610012024,0,0,1
03,2017,1235726422,2025938616,1979991180.6666667,1064304180.6666666,3044295361.3333335,3261665038,0.07140229539733735,0.6099525485326945,0,0,1
03,2018,1064712053,2101476600,1979991180.6666667,1064304180.6666666,3044295361.3333335,3166188653,0.04003990322846991,0.5066494925520465,0,25,26
03,2019,861291809,1554253752,1979991180.6666667,1064304180.6666666,3044295361.3333335,2415545561,-0.2065337707764187,0.554151346195367,5,25,4.333333333333333
03,2020,696987374,1431244024,1979991180.6666667,1064304180.6666666,3044295361.3333335,2128231398,-0.30091165757717997,0.4869801112266513,5,25,4.333333333333333
